,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
139,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
140,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,58900
141,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,85990
142,DELL,Window,DDR4,8,AMD,Others,1,14.0,HDD,1024,33100
143,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
144,Lenovo,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,73490
145,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,63491
146,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
147,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
148,ASUS,Window,DDR4,8,AMD,AMD,1,14.0,SSD,512,38990
149,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,67990
150,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
151,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
152,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39791
153,APPLE,Mac,,16,Others,Others,1,15.6,SSD,1024,241991
154,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,104991
155,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,42191
156,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
157,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
158,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,39991
159,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,99991
160,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
161,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
162,APPLE,Mac,,32,Others,Others,1,15.6,SSD,1024,309490
163,ASUS,Window,DDR4,16,Intel,Others,1,15.6,HDD,1024,64991
164,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,89991
165,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,85990
166,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
167,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,44991
168,APPLE,Mac,,16,Others,Others,1,14.0,SSD,1024,222991
169,Others,Others,Others,4,Intel,Intel,1,14.0,SSD,128,15990
170,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
171,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
172,DELL,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,45901
173,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,79990
174,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,56990
175,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,256,34990
176,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
177,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
178,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,43581
179,Lenovo,Window,DDR4,16,AMD,AMD,2,14.0,SSD,512,74991
180,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
181,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
182,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,37491
183,Infinix,Window,Others,4,Intel,Intel,1,14.0,SSD,128,20991
184,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,109991
185,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,71991
186,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
187,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
188,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,512,32990
189,MSI,Window,DDR4,8,AMD,AMD,1,14.0,SSD,512,43990
190,Lenovo,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,73490
191,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
192,acer,Window,DDR4,8,AMD,AMD,1,14.0,SSD,256,25990
193,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,1024,122991
194,acer,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,68991
195,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,59991
196,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
197,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
198,acer,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,39991
199,ASUS,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,37991
200,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
201,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
202,Lenovo,Window,DDR4,4,Intel,Others,1,14.0,SSD,256,25950
203,Others,Window,Others,16,Intel,Others,1,14.0,SSD,512,65000
204,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,60990
205,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,36990
206,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
207,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
208,Others,Window,Others,8,Intel,Others,1,15.6,SSD,256,59991
209,APPLE,Mac,,16,Others,Others,1,15.6,SSD,512,222991
210,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
211,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
212,DELL,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,235283
213,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,38990
214,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,67990
215,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,79990
216,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
217,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
