,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
152,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.591396
153,APPLE,Mac,,16,Others,Others,1,15.6,SSD,1024,12.396656
154,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,11.56163
155,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.649962
156,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
157,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
158,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,10.59641
159,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.5128355
160,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
161,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
162,APPLE,Mac,,32,Others,Others,1,15.6,SSD,1024,12.642684
163,ASUS,Window,DDR4,16,Intel,Others,1,15.6,HDD,1024,11.082005
164,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.407465
165,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.361998
166,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
167,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
168,APPLE,Mac,,16,Others,Others,1,14.0,SSD,1024,12.314887
169,Others,Others,Others,4,Intel,Intel,1,14.0,SSD,128,9.679781
170,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
171,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
172,DELL,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.734242
173,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,11.289669
174,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,10.950648
175,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,256,10.462846
176,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
177,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
178,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.682377
179,Lenovo,Window,DDR4,16,AMD,AMD,2,14.0,SSD,512,11.225123
180,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
181,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
182,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.531857
183,Infinix,Window,Others,4,Intel,Intel,1,14.0,SSD,128,9.951849
184,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,11.608154
185,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,11.184297
186,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
187,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
188,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,512,10.40399
189,MSI,Window,DDR4,8,AMD,AMD,1,14.0,SSD,512,10.69174
190,Lenovo,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918
191,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
192,acer,Window,DDR4,8,AMD,AMD,1,14.0,SSD,256,10.165505
193,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,1024,11.719867
194,acer,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.141731
195,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.00195
196,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
197,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
198,acer,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.59641
199,ASUS,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.545105
200,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
201,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
202,Lenovo,Window,DDR4,4,Intel,Others,1,14.0,SSD,256,10.163965
203,Others,Window,Others,16,Intel,Others,1,14.0,SSD,512,11.082143
204,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.018481
205,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.51843
206,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
207,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
208,Others,Window,Others,8,Intel,Others,1,15.6,SSD,256,11.00195
209,APPLE,Mac,,16,Others,Others,1,15.6,SSD,512,12.314887
210,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
211,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
212,DELL,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,12.368548
213,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.571086
214,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.1271305
215,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,11.289669
216,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
217,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
218,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.1271305
219,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,512,11.289669
220,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
221,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
222,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,11.407465
223,ASUS,Window,DDR5,32,Intel,Others,1,15.6,SSD,1024,12.396656
224,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,10.680309
225,Others,Window,DDR4,8,Intel,Others,1,14.0,SSD,256,10.757711
226,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
227,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
228,Others,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.621108
229,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,256,11.461537
230,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
231,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
232,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.652609
233,APPLE,Mac,,8,Others,Others,1,15.6,SSD,256,11.711702
234,ASUS,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.545105
235,ASUS,Window,DDR4,8,Intel,Intel,1,15.6,SSD,256,10.239638
236,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
237,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
238,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.601398
239,Lenovo,Window,DDR4,8,AMD,Others,1,15.6,SSD,512,10.462846
240,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
241,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
242,ASUS,Window,Others,16,Intel,Others,1,14.0,SSD,1024,11.461537
243,Lenovo,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.156122
244,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.00195
245,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.112313
246,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
247,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
248,ASUS,Window,Others,16,Intel,Others,1,15.6,SSD,512,11.56163
249,DELL,Window,DDR4,8,Intel,Others,1,14.0,SSD,256,10.913287
250,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
251,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
252,Lenovo,Window,DDR4,16,AMD,Others,2,15.6,SSD,1024,11.82767
253,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.782803
254,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.225123
255,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.018481
256,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
257,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
258,HP,Window,DDR4,8,AMD,AMD,1,14.0,SSD,512,10.819598
259,DELL,Window,DDR4,8,Intel,NVIDIA,1,15.6,SSD,512,11.1271305
260,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
261,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
262,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.968216
263,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,256,10.308653
264,ASUS,Window,Others,16,AMD,Others,1,15.6,SSD,1024,11.652609
265,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.433851
266,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
267,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
268,ASUS,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.082005
269,Lenovo,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.289669
270,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
271,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
272,Infinix,Window,Others,8,Intel,Others,1,14.0,SSD,256,10.274741
273,ASUS,Window,DDR4,8,AMD,Others,1,15.6,SSD,512,10.950648
274,HP,Window,DDR4,16,AMD,AMD,1,14.0,SSD,512,11.314364
275,MSI,Window,DDR4,16,Intel,Others,2,15.6,SSD,1024,11.775221
276,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
277,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
278,DELL,Window,DDR4,8,AMD,Others,1,15.6,HDD,1024,10.571086
279,HP,Window,DDR4,16,AMD,Others,1,15.6,HDD,1024,11.289669
280,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
281,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
282,APPLE,Mac,,8,Others,Others,1,15.6,SSD,512,11.849334
283,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.608154
284,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,11.951122
285,Lenovo,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.050747
286,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
287,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
288,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,10.778769
289,DELL,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.684371
290,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,11.820344
291,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
292,ASUS,Window,DDR5,16,AMD,AMD,1,15.6,SSD,512,11.502784
293,Infinix,Window,Others,16,Intel,Others,1,15.6,SSD,512,10.757711
294,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.491024
295,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
296,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.608154
297,APPLE,Mac,,8,Others,Others,1,15.6,SSD,512,11.849334
298,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.222185
299,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
300,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.616437
301,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.1489525
302,ASUS,Window,DDR4,8,Intel,Others,1,14.0,SSD,512,10.59641
303,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
304,ASUS,Window,Others,16,AMD,AMD,1,15.6,SSD,512,11.5128355
305,APPLE,Mac,,16,Others,Others,1,15.6,SSD,1024,12.396656
306,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.621108
307,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
308,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.008595
309,HP,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,11.156122
310,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.714218
311,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
312,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.714218
313,HP,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.008595
314,ASUS,Window,DDR4,16,Intel,Others,1,15.6,SSD,512,11.1489525
315,HP,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.616437
316,Lenovo,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
317,RedmiBook,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
318,HP,Window,DDR4,16,AMD,AMD,1,15.6,SSD,512,10.932946
319,Lenovo,Window,Others,16,Intel,Others,1,15.6,SSD,512,11.225123
320,ASUS,Window,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
321,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
322,HP,Window,DDR4,8,Intel,Others,1,15.6,HDD,1024,11.156122
323,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,256,10.714218
324,ASUS,Window,DDR4,8,Intel,Others,1,15.6,SSD,1024,11.00195
325,APPLE,Mac,,16,Others,Others,1,15.6,SSD,512,12.314887
326,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
327,Lenovo,Window,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
328,DELL,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,11.222185
329,ASUS,Window,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.608154
330,ASUS,Window,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
331,Lenovo,Window,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
332,acer,Window,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.050747
333,acer,Window,DDR4,8,Intel,Others,1,15.6,SSD,512,10.621108
334,MSI,Window,DDR4,8,Intel,Others,2,15.6,SSD,512,10.976782
